web_scraper_order,Address_raw,Rooms,Area,Rent
1763742838-1406,"Schaffhauserstrasse 282, 8057 Zürich",1.5,40.0,2150.0
1763742838-1407,"Langensteinenstrasse 4, 8057 Zürich",2.0,47.0,2180.0
1763742838-1408,"Wartauweg 19, 8049 Zürich",1.5,28.0,1940.0
1763742838-1409,"Mattengasse 16, 8005 Zürich",3.0,,
1763742838-1410,"Bergstrasse 5, 8044 Zürich",5.5,190.0,5870.0
1763742838-1411,"Kreuzstrasse 78, 8032 Zürich",4.5,90.0,4870.0
1763742838-1412,"Scheffelstrasse 11, 8037 Zürich",3.5,80.0,3650.0
1763742838-1413,8057 Zürich,3.5,104.0,4400.0
1763742838-1414,"Sempacherstrasse, 8032 Zürich",4.0,120.0,3855.0
1763742838-1415,"Nebelbachstrasse 9, 8008 Zürich",1.5,80.0,2612.0
1763742838-1417,8047 Zürich,3.5,,3650.0
1763742838-1418,"Auhofstrasse 2, 8051 Zürich",4.5,119.0,3750.0
1763742844-1439,"Hardstrasse 236/238, 8005 Zürich",2.0,80.0,3368.0
1763742844-1440,"Gerechtigkeitsgasse 8, 8001 Zürich",1.0,40.0,4676.0
1763742844-1441,"Gerechtigkeitsgasse 8, 8001 Zürich",1.0,24.0,3259.0
1763742844-1442,"Cramerstrasse 8-12, 8004 Zürich",1.0,14.0,2169.0
1763742844-1443,"Imbisbühlstrasse 117, 8049 Zürich",2.5,75.0,2255.0
1763742844-1444,"Cramerstrasse 2-6, 8004 Zürich",2.0,46.0,4458.0
1763742844-1445,"Binzmühlestr. 48, 8050 Zürich",2.0,80.0,4676.0
1763742844-1446,"Binzmühlestr. 46, 8050 Zürich",1.0,15.0,2060.0
1763742844-1447,"Bellariastrasse 36, 8002 Zürich",1.0,30.0,4349.0
1763742844-1448,"Bellariastrasse 36, 8002 Zürich",1.0,44.0,3902.0
1763742844-1449,"Bellariastrasse 36, 8002 Zürich",2.0,86.0,6649.0
1763742844-1450,"Bellariastrasse 36, 8002 Zürich",1.0,44.0,4349.0
1763742844-1451,"Albertstrasse 7, 8005 Zürich",1.0,22.0,2657.0
1763742844-1452,"Freilagerstrasse 5, 8047 Zürich",3.5,87.0,3450.0
1763742844-1454,"Gartendörfliweg 4, 8048 Zürich",5.5,150.0,2500.0
1763742844-1455,"Schaffhauserstrasse 230 A, 8057 Zürich",2.5,64.0,2450.0
1763742844-1456,"Toblerstrasse 6, 8044 Zürich",3.0,91.0,3222.0
1763742844-1457,"Turbinenstrasse 35, 8005 Zürich",2.5,58.0,2460.0
1763742844-1458,"Seestrasse 261, 8038 Zürich",4.5,213.0,7960.0
1763742847-1479,"Sihlweidstrasse 12, 8041 Zürich",3.5,85.0,1990.0
1763742847-1480,"Talchernsteig 1, 8049 Zürich",4.5,128.0,5577.0
1763742847-1481,8057 Oerlikon,5.5,114.0,1890.0
1763742847-1482,8057 Oerlikon,4.5,98.0,1790.0
1763742847-1483,8057 Oerlikon,3.5,75.0,1590.0
1763742847-1484,8057 Oerlikon,2.5,55.0,1390.0
1763742847-1485,8057 Oerlikon,4.5,98.0,1490.0
1763742847-1486,8057 Oerlikon,5.5,114.0,1690.0
1763742847-1487,"Scheuchzerstrasse 8, 8006 Zürich",5.5,,4000.0
1763742847-1488,"Hungerbergstr. 27, 8046 Zürich",1.5,41.0,1840.0
1763742847-1489,"Hallwylstr. 73, 8004 Zürich",1.5,,1980.0
1763742847-1490,"Brahmsstrasse 12, 8003 Zürich",2.0,60.0,1990.0
1763742847-1491,"Hohlstrasse 104, 8004 Zürich",2.5,49.0,2835.0
1763742847-1492,"Dufourstrasse 32, 8008 Zürich",2.0,57.0,3100.0
1763742847-1493,"Leutschenbachstrasse 77, 8050 Zürich",3.5,82.0,2980.0
1763742847-1494,"Gräbligasse 12, 8001 Zürich",3.5,70.0,3825.0
1763742847-1495,"Gräbligasse 12, 8001 Zürich",3.5,72.0,3690.0
1763742847-1496,"Balberstrasse 74, 8038 Zürich",4.0,67.0,
1763742847-1497,8046 Zürich,5.0,100.0,3290.0
1763742847-1498,"Rotachstrasse 33, 8003 Zürich",1.0,14.0,2060.0
1763742851-1519,"Hönggerstrasse 40, 8037 Zürich",2.5,55.0,3900.0
1763742851-1520,"Regensdorferstr. 72, 8049 Zürich",2.5,77.0,2930.0
1763742851-1521,"Riedhofstrasse 378, 8049 Zürich",1.5,52.0,1890.0
1763742851-1523,"Spindelstrasse 15, 8041 Zürich",4.5,135.0,4460.0
1763742851-1524,"Im Walder 4/6/8, 8008 Zürich",2.0,51.0,1916.0
1763742851-1525,"Blumenweg 14, 8008 Zürich",4.5,88.0,3500.0
1763742851-1527,"Meierwiesenstrasse 56, 8064 Zürich",1.5,38.0,1650.0
1763742851-1528,"Dachslernstrasse 91, 8048 Zürich",1.0,20.0,1470.0
1763742851-1529,"Nordstrasse 249, 8037 Zürich",3.5,72.0,1850.0
1763742851-1530,"Albisriederstr. 172, 8003 Zürich",3.5,90.0,3120.0
1763742851-1531,"Hagenholzstr. 55, 8050 Zürich",4.5,152.0,6205.0
1763742851-1532,"Aemtlerstrasse 186, 8003 Zürich",2.5,57.0,2618.0
1763742851-1533,"Luchswiesenstrasse 220, 8051 Zürich",1.0,,1450.0
1763742851-1534,"Giebeleich 12, 8052 Zurich",4.5,95.0,3775.0
1763742851-1535,"Augustinergasse 17, 8001 Zürich",3.0,100.0,4200.0
1763742851-1536,"Plattenstr. 34, 8032 Zürich",5.5,138.0,5720.0
1763742851-1537,"Heinrich-Federer-Strasse 4, 8038 Zürich",2.5,52.0,2600.0
1763742851-1538,"Stampfenbachstrasse 68, 8006 Zürich",2.5,54.0,2810.0
1763742854-1559,"Schaffhauserstrasse 306, 8050 Zürich",2.0,47.0,1730.0
1763742854-1560,"Zentralstrasse 37, 8003 Zürich",2.5,85.0,6590.0
1763742854-1561,"Kreis 11, 8052 Zürich",1.0,15.0,1400.0
1763742854-1562,"Kelchweg 3, 8048 Zurich",2.5,60.0,2310.0
1763742854-1563,"Hohlstrasse 100, 8004 Zürich",1.5,39.0,1952.0
1763742854-1564,"Schärenmoosstrasse 76, 8052 Seebach",2.5,70.0,3005.0
1763742854-1565,"Albisriederstr. 172, 8003 Zürich",3.5,99.0,3450.0
1763742854-1566,"Schulhaustr. 15, 8002 Zürich",3.5,65.0,3290.0
1763742854-1567,"Auf Anfrage 1, 8004 Zürich",1.5,20.0,2150.0
1763742854-1568,"Robert-Seidel-Hof 5, 8048 Zürich",1.0,28.0,1450.0
1763742854-1569,"Bläsistr. 3, 8049 Zürich",3.5,,2070.0
1763742854-1570,"Libellenweg 12, 8048 Zürich",2.5,64.0,2720.0
1763742854-1571,"Köchlistrasse 10, 8004 Zürich",2.0,53.0,2540.0
1763742854-1572,"Gubelhangstrasse 24, 8050 Zürich",3.0,80.0,2200.0
1763742854-1573,"Flüelastr. 15, 8048 Zürich",3.5,82.0,2270.0
1763742854-1574,"Breitingerstr. 17, 8002 Zürich",3.0,70.0,2865.0
1763742854-1575,"Alfred Escherstr. 66, 8002 Zürich",2.5,73.0,3490.0
1763742854-1576,"Jungholzstrasse 48, 8050 Zürich",3.5,91.0,3447.0
1763742854-1578,"Hönggerstrasse 40, 8037 Zürich",2.5,55.0,3900.0
1763742857-1599,"Stampfenbachstrasse 142, 8006 Zürich",3.5,,3265.0
1763742857-1600,"Bahnhaldenstrasse 31, 8052 Zürich",2.5,60.0,2710.0
1763742857-1601,"Naphtastrasse, 8005 Zürich",3.5,95.0,4250.0
1763742857-1602,"Wydäckerring 61, 8047 Zürich",1.0,34.0,1865.0
1763742857-1603,"Böcklinstrasse 39, 8032 Zürich",5.5,129.0,5700.0
1763742857-1604,"Altstetterstrasse 224, 8048 Zürich",3.5,92.0,2960.0
1763742857-1605,"Speerstrasse 50, 8038 Zürich",1.0,,1222.0
1763742857-1606,"Maneggstrasse 83, 8041 Zürich",2.5,62.0,2500.0
1763742857-1607,"Maneggstrasse 87, 8041 Zürich",2.5,62.0,2500.0
1763742857-1608,"Maneggstrasse 83, 8041 Zürich",4.5,114.0,4330.0
1763742857-1609,"Bremgartnerstr. 7, 8003 Zürich",3.5,66.0,3150.0
1763742857-1610,"Bellerivestrasse 187, 8008 Zürich",2.0,64.0,2680.0
1763742857-1611,"Felsenstrasse 12a, 8008 Zürich",4.5,90.0,3355.0
1763742857-1612,"Zypressenstrasse 142, 8004 Zürich",1.5,50.0,1970.0
1763742857-1613,"Birchstrasse 98, 8050 Zürich",1.0,63.0,2717.0
1763742857-1614,"Wiesliacher 83, 8053 Zürich",3.5,98.0,2023.0
